Parameter_ID,Value,Unit,Type
MaxSpeed (M),12,m/s,
Cost(C),1.2,$/AH,
X11,40,Meter,Noflyzone
X12,40,Meter,Noflyzone
X13,500,Meter,Noflyzone
X14,500,Meter,Noflyzone
X15,500,Meter,Noflyzone
X16,40,Meter,Noflyzone
X17,40,Meter,Noflyzone
X18,500,Meter,Noflyzone
Y11,-50,Meter,Noflyzone
Y12,-50,Meter,Noflyzone
Y13,-50,Meter,Noflyzone
Y14,-50,Meter,Noflyzone
Y15,300,Meter,Noflyzone
Y16,300,Meter,Noflyzone
Y17,300,Meter,Noflyzone
Y18,300,Meter,Noflyzone
Z11,0,Meter,Noflyzone
Z12,60,Meter,Noflyzone
Z13,60,Meter,Noflyzone
Z14,0,Meter,Noflyzone
Z15,0,Meter,Noflyzone
Z16,0,Meter,Noflyzone
Z17,60,Meter,Noflyzone
Z18,60,Meter,Noflyzone
WH1X,0,Meter,WH Location 1
WH1Y,0,Meter,WH Location 2
WH1Z,0,Meter,WH Location 3
AX1,5000,Meter,Recharge1
AY1,4500,Meter,Recharge1
BX1,-4589,Meter,Recharge2
BY1,-6489,Meter,Recharge2
P1,1,,Drone1
P2,2,,Drone2
P3,2,,Drone3
P4,3,,Drone4
P5,3,,Drone5
P6,4,,Drone6
Q1,2,,Drone1
Q2,2,,Drone2
Q3,3,,Drone3
Q4,2,,Drone4
Q5,3,,Drone5
Q6,4,,Drone6
A1,0.02,,Drone1
A2,0.01,,Drone2
A3,0.03,,Drone3
A4,0.04,,Drone4
A5,0.05,,Drone5
A6,0.05,,Drone6
B1,0.01,,Drone1
B2,0.03,,Drone2
B3,0.02,,Drone3
B4,0.04,,Drone4
B5,0.04,,Drone5
B6,0.05,,Drone6
C1,0.01,,Drone1
C2,0.02,,Drone2
C3,0.03,,Drone3
C4,0.02,,Drone4
C5,0.03,,Drone5
C6,0.04,,Drone6
DT1Count,4,,Drone1
DT2Count,5,,Drone2
DT3Count,8,,Drone3
DT4Count,8,,Drone4
DT5Count,5,,Drone5
DT6Count,8,,Drone6
