WH,Demand ID,Item,Day,X,Y,Z,DeliveryFrom,DeliveryTo,DeliveryFailure
WH1,D1,Item-2,Day 2,-389,-995,55,8:10:00,9:00:00,0
WH1,D2,Item-3,Day 2,-2287,606,120,8:15:00,8:30:00,0
WH1,D3,Item-4,Day 2,1223,1368,174,8:30:00,9:00:00,0
WH1,D4,Item-5,Day 2,2375,-961,110,11:00:00,12:00:00,0
WH1,D5,Item-1,Day 2,-988,2188,120,10:00:00,10:30:00,0
WH1,D6,Item-5,Day 2,9547,7896,180,11:30:00,12:00:00,0
WH1,D7,Item-3,Day 2,826,-2378,106,8:30:00,9:00:00,0
WH1,D8,Item-5,Day 2,-1352,1319,146,9:30:00,9:45:00,0
WH1,D9,Item-1,Day 2,1384,-1580,76,9:00:00,9:30:00,0
WH1,D10,Item-3,Day 2,-1892,-1711,103,9:00:00,11:00:00,0
WH1,D11,Item-5,Day 2,2116,-1325,151,9:00:00,10:30:00,0
WH1,D12,Item-2,Day 2,-687,636,116,8:30:00,9:00:00,0
WH1,D13,Item-4,Day 2,-1963,1198,44,8:15:00,8:25:00,0
WH1,D14,Item-4,Day 2,-1361,2136,101,11:15:00,12:00:00,0
WH1,D15,Item-3,Day 2,8927,6782,60,10:25:00,12:00:00,0
WH1,D16,Item-3,Day 2,-1327,651,179,8:30:00,9:00:00,0
WH1,D17,Item-3,Day 2,-892,-230,73,10:10:00,10:50:00,1
WH1,D18,Item-2,Day 2,1713,-1870,57,9:10:00,9:20:00,0
WH1,D19,Item-1,Day 2,-713,678,188,10:30:00,12:00:00,0
WH1,D20,Item-3,Day 2,-1666,-557,113,11:40:00,12:00:00,0
WH1,D21,Item-1,Day 2,-2248,-273,97,11:30:00,12:00:00,0
WH1,D22,Item-2,Day 2,-2424,-154,98,9:10:00,9:20:00,0
WH1,D23,Item-1,Day 2,-6000,-5600,147,8:10:00,8:30:00,0
WH1,D24,Item-4,Day 2,-582,-2478,106,9:25:00,9:50:00,0
WH1,D25,Item-1,Day 2,-2058,-1913,132,11:50:00,12:00:00,0
WH1,D26,Item-4,Day 2,773,-2279,180,10:50:00,11:20:00,0
WH1,D27,Item-4,Day 2,-777,1646,183,11:40:00,12:00:00,0
WH1,D28,Item-1,Day 2,1955,-2229,181,8:30:00,9:00:00,0
WH2,D29,Item-1,Day 2,2378,1047,92,9:10:00,9:20:00,0
WH2,D30,Item-4,Day 2,1713,-331,97,10:30:00,12:00:00,0
WH2,D31,Item-4,Day 2,9200,7800,70,11:00:00,12:00:00,0
WH2,D32,Item-4,Day 2,2263,-2241,125,11:30:00,12:00:00,0
WH2,D33,Item-2,Day 2,1150,1090,93,9:10:00,9:20:00,0
WH2,D34,Item-2,Day 2,-802,-1878,67,9:00:00,9:30:00,0
WH2,D35,Item-1,Day 2,-1287,-2420,112,9:00:00,11:00:00,0
WH2,D36,Item-1,Day 2,-71,1009,199,9:00:00,10:30:00,0
WH2,D37,Item-1,Day 2,-715,-1713,28,8:30:00,9:00:00,0
WH2,D38,Item-2,Day 2,-2226,-83,63,8:15:00,8:25:00,0
WH2,D39,Item-1,Day 2,872,1054,148,11:15:00,12:00:00,0
WH2,D40,Item-4,Day 2,-1987,984,28,8:30:00,9:00:00,0
WH2,D41,Item-1,Day 2,934,-1172,145,8:45:00,9:00:00,0
WH2,D42,Item-4,Day 2,-1912,689,142,10:00:00,10:30:00,0
WH2,D43,Item-1,Day 2,7649,7535,78,9:30:00,10:30:00,0
WH2,D44,Item-4,Day 2,7289,6641,150,9:10:00,9:20:00,0
WH2,D45,Item-1,Day 2,6223,7164,127,9:00:00,9:30:00,0
WH2,D46,Item-2,Day 2,6979,6971,179,9:00:00,11:00:00,0
WH2,D47,Item-1,Day 2,1147,-1815,100,10:00:00,10:30:00,0
WH2,D48,Item-3,Day 2,-374,-1103,101,10:00:00,11:30:00,0
WH2,D49,Item-5,Day 2,8900,6700,109,10:40:00,12:00:00,0
WH2,D50,Item-2,Day 2,2300,1700,45,11:40:00,12:00:00,0
