Parameter_ID,Value,Unit,Type
MaxSpeed (M),15,m/s,
Cost(C),1.3,$/AH,
X11,-50,Meter,Noflyzone
X12,-50,Meter,Noflyzone
X13,533,Meter,Noflyzone
X14,533,Meter,Noflyzone
X15,533,Meter,Noflyzone
X16,-50,Meter,Noflyzone
X17,-50,Meter,Noflyzone
X18,533,Meter,Noflyzone
Y11,70,Meter,Noflyzone
Y12,70,Meter,Noflyzone
Y13,70,Meter,Noflyzone
Y14,70,Meter,Noflyzone
Y15,410,Meter,Noflyzone
Y16,410,Meter,Noflyzone
Y17,410,Meter,Noflyzone
Y18,410,Meter,Noflyzone
Z11,0,Meter,Noflyzone
Z12,60,Meter,Noflyzone
Z13,60,Meter,Noflyzone
Z14,0,Meter,Noflyzone
Z15,0,Meter,Noflyzone
Z16,0,Meter,Noflyzone
Z17,60,Meter,Noflyzone
Z18,60,Meter,Noflyzone
X21,3300,Meter,Noflyzone
X22,3300,Meter,Noflyzone
X23,3700,Meter,Noflyzone
X24,3700,Meter,Noflyzone
X25,3700,Meter,Noflyzone
X26,3300,Meter,Noflyzone
X27,3300,Meter,Noflyzone
X28,3700,Meter,Noflyzone
Y21,3300,Meter,Noflyzone
Y22,3300,Meter,Noflyzone
Y23,3300,Meter,Noflyzone
Y24,3300,Meter,Noflyzone
Y25,3700,Meter,Noflyzone
Y26,3700,Meter,Noflyzone
Y27,3700,Meter,Noflyzone
Y28,3700,Meter,Noflyzone
Z21,20,Meter,Noflyzone
Z22,40,Meter,Noflyzone
Z23,40,Meter,Noflyzone
Z24,20,Meter,Noflyzone
Z25,20,Meter,Noflyzone
Z26,20,Meter,Noflyzone
Z27,40,Meter,Noflyzone
Z28,40,Meter,Noflyzone
WH1X,0,Meter,WH Location 1
WH1Y,0,Meter,WH Location 2
WH1Z,0,Meter,WH Location 3
WH2X,3500,Meter,WH Location 2
WH2Y,3500,Meter,WH Location 2
WH2Z,0,Meter,WH Location 2
AX1,7000,Meter,Recharge1
AY1,7500,Meter,Recharge1
BX1,-3000,Meter,Recharge2
BY1,-3500,Meter,Recharge2
P1,1,,Drone1
P2,1,,Drone2
P3,2,,Drone3
P4,3,,Drone4
P5,4,,Drone5
P6,4,,Drone6
Q1,1,,Drone1
Q2,2,,Drone2
Q3,3,,Drone3
Q4,2,,Drone4
Q5,3,,Drone5
Q6,4,,Drone6
A1,0.01,,Drone1
A2,0.02,,Drone2
A3,0.03,,Drone3
A4,0.04,,Drone4
A5,0.05,,Drone5
A6,0.04,,Drone6
B1,0.01,,Drone1
B2,0.03,,Drone2
B3,0.02,,Drone3
B4,0.04,,Drone4
B5,0.04,,Drone5
B6,0.05,,Drone6
C1,0.01,,Drone1
C2,0.02,,Drone2
C3,0.05,,Drone3
C4,0.02,,Drone4
C5,0.03,,Drone5
C6,0.04,,Drone6
DT1Count,10,,Drone1
DT2Count,8,,Drone2
DT3Count,5,,Drone3
DT4Count,4,,Drone4
DT5Count,8,,Drone5
DT6Count,10,,Drone6
