DroneID,Day,Resting Time (s),Charging time (s),Maintenance Cost ($),Energy Cost ($)
D1A,1,8816.0,1297.0,17.755555555555556,611.9046652053687
D1B,1,10338.0,947.0,15.641666666666666,444.3986139540241
D1C,1,13828.0,135.0,10.794444444444444,17.365698731194357
D1D,1,14272.0,32.0,10.177777777777777,1.8248665118489429
D1E,1,14400.0,0.0,10.0,0.0
D1F,1,14400.0,0.0,10.0,0.0
D1G,1,14400.0,0.0,10.0,0.0
D1H,1,14400.0,0.0,10.0,0.0
D1I,1,14400.0,0.0,10.0,0.0
D1J,1,14400.0,0.0,10.0,0.0
D2A,1,14400.0,0.0,15.0,0.0
D2B,1,14400.0,0.0,15.0,0.0
D2C,1,14400.0,0.0,15.0,0.0
D2D,1,14400.0,0.0,15.0,0.0
D2E,1,14400.0,0.0,15.0,0.0
D2F,1,14400.0,0.0,15.0,0.0
D2G,1,14400.0,0.0,15.0,0.0
D2H,1,14400.0,0.0,15.0,0.0
D3A,1,8762.0,-70462.0,40.35944444444445,844881.3523736285
D3B,1,10580.0,-50922.0,33.794444444444444,2233873.58197034
D3C,1,12224.0,-8318.0,27.857777777777777,88735.65386023419
D3D,1,13988.0,-302.0,21.48777777777778,165.15954486869694
D3E,1,10803.0,-9387.0,32.98916666666666,99663.7663529755
D4A,1,14400.0,0.0,20.0,0.0
D4B,1,14400.0,0.0,20.0,0.0
D4C,1,14400.0,0.0,20.0,0.0
D4D,1,14400.0,0.0,20.0,0.0
D5A,1,14400.0,0.0,30.0,0.0
D5B,1,14400.0,0.0,30.0,0.0
D5C,1,14400.0,0.0,30.0,0.0
D5D,1,14400.0,0.0,30.0,0.0
D5E,1,14400.0,0.0,30.0,0.0
D5F,1,14400.0,0.0,30.0,0.0
D5G,1,14400.0,0.0,30.0,0.0
D5H,1,14400.0,0.0,30.0,0.0
D6A,1,12664.0,2640.0,62.05555555555556,729.9157442209831
D6B,1,14400.0,0.0,50.0,0.0
D6C,1,14400.0,0.0,50.0,0.0
D6D,1,14400.0,0.0,50.0,0.0
D6E,1,14400.0,0.0,50.0,0.0
D6F,1,14400.0,0.0,50.0,0.0
D6G,1,14400.0,0.0,50.0,0.0
D6H,1,14400.0,0.0,50.0,0.0
D6I,1,14400.0,0.0,50.0,0.0
D6J,1,14400.0,0.0,50.0,0.0
