DroneID,Day,Resting Time (s),Charging time (s),Maintenance Cost ($),Energy Cost ($)
D1A,3,7957.0,1491.0,18.948611111111113,660.3065664433057
D1B,3,11668.0,632.0,13.794444444444444,270.3578309179409
D1C,3,14104.0,68.0,10.411111111111111,8.341633247253235
D1D,3,14114.0,67.0,10.397222222222222,7.990225077664114
D1E,3,14400.0,0.0,10.0,0.0
D1F,3,14400.0,0.0,10.0,0.0
D1G,3,14400.0,0.0,10.0,0.0
D1H,3,14400.0,0.0,10.0,0.0
D1I,3,14400.0,0.0,10.0,0.0
D1J,3,14400.0,0.0,10.0,0.0
D2A,3,13863.0,977.0,16.193333333333335,1722.521084438732
D2B,3,14400.0,0.0,15.0,0.0
D2C,3,14400.0,0.0,15.0,0.0
D2D,3,14400.0,0.0,15.0,0.0
D2E,3,14400.0,0.0,15.0,0.0
D2F,3,14400.0,0.0,15.0,0.0
D2G,3,14400.0,0.0,15.0,0.0
D2H,3,14400.0,0.0,15.0,0.0
D3A,3,4638.0,-51945.0,55.251666666666665,1033548.2151939054
D3B,3,12108.0,-3675.0,28.276666666666667,15304.612012135132
D3C,3,14400.0,0.0,20.0,0.0
D3D,3,14400.0,0.0,20.0,0.0
D3E,3,14400.0,0.0,20.0,0.0
D4A,3,12667.0,-859.0,27.22083333333333,2710.4534115329143
D4B,3,13656.0,2499.0,23.1,11275.072476751971
D4C,3,14400.0,0.0,20.0,0.0
D4D,3,14400.0,0.0,20.0,0.0
D5A,3,12728.0,1653.0,39.28888888888889,-4550.23038400024
D5B,3,13329.0,-321.0,35.95,186.58854249864797
D5C,3,14400.0,0.0,30.0,0.0
D5D,3,14400.0,0.0,30.0,0.0
D5E,3,14400.0,0.0,30.0,0.0
D5F,3,14400.0,0.0,30.0,0.0
D5G,3,14400.0,0.0,30.0,0.0
D5H,3,14400.0,0.0,30.0,0.0
D6A,3,9672.0,-8477.0,82.83333333333334,309834.22530612315
D6B,3,13521.0,3620.0,56.104166666666664,23658.928210738508
D6C,3,14400.0,0.0,50.0,0.0
D6D,3,14400.0,0.0,50.0,0.0
D6E,3,14400.0,0.0,50.0,0.0
D6F,3,14400.0,0.0,50.0,0.0
D6G,3,14400.0,0.0,50.0,0.0
D6H,3,14400.0,0.0,50.0,0.0
D6I,3,14400.0,0.0,50.0,0.0
D6J,3,14400.0,0.0,50.0,0.0
